price,rooms,baths,m2_cons,m2_property,floor,garage,balcony,terrace,lift,AC,prop_age,pool,east,north,south,west,adosado,pareado,chalet,masia,atico,duplex,estudio,piso,casa_rustica,villa,heating,trastero,fireplace,garden,wardrobes,mobility,sea_views,nuda,ocupada,rented,new,good,renovate,missing_prop_age,parking_price,location_cluster,room_efficiency,bath_to_room_ratio,cluster_price_mean,cluster_price_std,age_condition_score,luxury_score,luxury_per_m2,is_house,is_apartment,is_small,orientation_score,amenity_count,amenity_density,top_floor,ground_floor,is_tiny,is_small_apt,is_medium,is_large,is_mansion,is_vintage,optimal_age,has_outdoor,has_storage,convenience_score,energy_score,missing_energy_score,energy_premium,energy_penalty,cluster_luxury_level,is_premium_location,room_size_balance,bathroom_luxury,space_efficiency,family_home,luxury_property,m2_property_ratio,amenity_per_room,total_quality,quality_size_fit
85000,3,2,137,137,2,False,False,False,False,False,49,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,0,2,0.021897810218978103,0.6666666666666666,364887.5054887611,380181.26052936766,49.0,0,0.0,False,True,False,0.0,0,0.0,False,False,False,False,False,True,False,False,False,False,False,0,2.0,False,True,False,1.628855201254574,False,27.4,True,1.0,False,False,0.9927536231884058,0.0,0.0,0.0
160000,4,4,201,201,0,True,False,False,False,True,49,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,0,2,0.01990049751243781,1.0,364887.5054887611,380181.26052936766,49.0,2,0.009950248756218905,False,False,False,0.0,2,0.009950248756218905,False,False,False,False,False,False,True,False,False,False,True,4,4.0,False,False,True,1.628855201254574,False,25.125,True,1.0,False,False,0.995049504950495,0.5,6.0,150.75
120000,9,6,377,377,2,False,False,False,False,False,40,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,2,0.023872679045092837,0.6666666666666666,364887.5054887611,380181.26052936766,80.0,0,0.0,False,True,False,2.5,0,0.0,False,False,False,False,False,False,True,False,False,False,False,0,2.0,False,True,False,1.628855201254574,False,25.133333333333333,True,1.0,False,False,0.9973544973544973,0.0,2.5,62.83333333333333
1150000,5,5,509,1337,0,False,False,False,False,True,49,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,0,2,0.009823182711198428,1.0,364887.5054887611,380181.26052936766,49.0,3,0.005893909626719057,False,False,False,0.0,0,0.0,False,False,False,False,False,False,True,False,False,True,False,1,2.0,False,True,False,1.628855201254574,False,50.9,True,0.3807030665669409,False,True,2.6215686274509804,0.0,4.0,203.6
133000,2,1,107,900,0,True,False,True,False,False,43,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,True,False,False,0,2,0.018691588785046728,0.5,364887.5054887611,380181.26052936766,43.0,2,0.018691588785046728,True,False,False,0.0,2,0.018691588785046728,False,False,False,False,True,False,False,False,False,True,False,2,-1.0,True,False,False,1.628855201254574,False,35.666666666666664,False,0.11888888888888889,False,False,8.333333333333334,1.0,4.0,142.66666666666666
400000,6,1,649,473,4,False,True,True,False,False,49,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,False,False,False,False,False,False,False,True,False,True,0,2,0.009244992295839754,0.16666666666666666,364887.5054887611,380181.26052936766,49.0,2,0.0030816640986132513,True,False,False,0.0,3,0.004622496147919877,False,False,False,False,False,False,True,False,False,True,True,1,-1.0,True,False,False,1.628855201254574,False,92.71428571428571,False,1.372093023255814,True,False,0.7276923076923076,0.5,3.0,278.1428571428571
177000,4,3,320,320,2,False,False,False,False,False,49,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,0,2,0.0125,0.75,364887.5054887611,380181.26052936766,49.0,0,0.0,False,False,False,0.0,0,0.0,False,False,False,False,False,False,True,False,False,False,False,0,5.0,False,False,True,1.628855201254574,False,45.714285714285715,True,1.0,False,False,0.9968847352024922,0.0,0.0,0.0
585000,6,3,465,1050,3,True,False,True,False,False,23,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,0,2,0.012903225806451613,0.5,364887.5054887611,380181.26052936766,23.0,2,0.004301075268817204,False,False,False,1.5,3,0.0064516129032258064,False,False,False,False,False,False,True,False,True,True,True,3,2.0,False,True,False,1.628855201254574,False,51.666666666666664,False,0.44285714285714284,False,False,2.2532188841201717,0.5,6.5,335.8333333333333
340000,4,3,378,378,2,True,True,True,False,True,49,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,0,2,0.010582010582010581,0.75,364887.5054887611,380181.26052936766,49.0,1,0.0026455026455026454,False,False,False,0.0,3,0.007936507936507936,False,False,False,False,False,False,True,False,False,True,False,3,6.0,False,False,True,1.628855201254574,False,54.0,True,1.0,False,False,0.9973614775725593,0.75,4.0,216.0
115000,4,2,147,147,1,False,True,False,True,True,52,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,0,2,0.027210884353741496,0.5,364887.5054887611,380181.26052936766,52.0,2,0.013605442176870748,False,True,False,0.0,2,0.013605442176870748,False,True,False,False,False,True,False,True,False,True,True,3,-1.0,True,False,False,1.628855201254574,False,24.5,False,1.0,False,False,0.9932432432432432,0.5,5.0,122.5
